class,precision,recall,f1_score,support
BIODEGRADABLE,0.8817,0.9688,0.9232,5862
CARDBOARD,0.8324,0.8873,0.859,683
GLASS,0.8525,0.6431,0.7331,1555
METAL,0.7618,0.7489,0.7553,948
PAPER,0.8227,0.6065,0.6982,681
PLASTIC,0.6911,0.6517,0.6708,824
