alpha,val_map50
0.0,0.4599149635424083
0.05,0.4629345801439028
0.1,0.4646675666275372
0.15,0.46355569581097433
0.2,0.4643474378149797
0.25,0.4656106549779802
0.3,0.46500175081400236
0.35,0.46822219058357706
0.4,0.46901296642322005
0.45,0.4705783190719477
0.5,0.4704772611452183
0.55,0.46744366882645094
0.6,0.4637856774684555
0.65,0.46268283366063995
0.7,0.46250001521628126
0.75,0.46165027230266537
0.8,0.4608814654969941
0.85,0.46056546761514944
0.9,0.45887595528217723
0.95,0.4587239415193383
1.0,0.4587239415193383
