experiment,class,f1,precision,recall,auc
E3,BIODEGRADABLE,0.9249,0.8883,0.9647,0.9636
E3,CARDBOARD,0.8706,0.8506,0.8917,0.9931
E3,GLASS,0.7294,0.8692,0.6283,0.9134
E3,METAL,0.7654,0.7279,0.807,0.9684
E3,PAPER,0.7419,0.8531,0.6564,0.9538
E3,PLASTIC,0.6767,0.6995,0.6553,0.9471
