class,precision,recall,f1_score,support
BIODEGRADABLE,0.8894,0.9833,0.934,5862
CARDBOARD,0.8794,0.9078,0.8934,683
GLASS,0.9057,0.6669,0.7681,1555
METAL,0.7848,0.7848,0.7848,948
PAPER,0.8533,0.649,0.7373,681
PLASTIC,0.7579,0.6954,0.7253,824
