epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,911.562,1.25053,1.27258,1.37552,0.60488,0.45635,0.49839,0.32902,1.25369,1.51498,1.43199,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,937.192,1.2451,1.25591,1.368,0.62882,0.46089,0.50787,0.33557,1.26291,1.49355,1.43948,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,962.886,1.25827,1.26468,1.37243,0.62825,0.46203,0.50875,0.33756,1.25088,1.50121,1.4263,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,989.077,1.23781,1.24077,1.36002,0.61493,0.46186,0.50423,0.33204,1.25334,1.49861,1.42574,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,1015.12,1.23788,1.24823,1.36766,0.63329,0.46564,0.51429,0.33935,1.25819,1.47499,1.4279,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,1041.16,1.23767,1.24816,1.36582,0.62197,0.46234,0.5051,0.33414,1.25054,1.51596,1.42513,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,1067.27,1.25358,1.24507,1.36546,0.60838,0.47727,0.50631,0.33633,1.25797,1.49505,1.42922,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,1093.26,1.20728,1.22718,1.34741,0.63394,0.46197,0.50951,0.34217,1.24274,1.48262,1.42686,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,1119.03,1.22969,1.22258,1.35433,0.63581,0.46712,0.51198,0.3411,1.24635,1.48596,1.42645,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,1145.07,1.2117,1.21318,1.35209,0.64478,0.46749,0.51419,0.34112,1.25514,1.46593,1.42897,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,1171.09,1.22968,1.21407,1.35426,0.62867,0.46802,0.51019,0.34037,1.24586,1.47331,1.41625,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,1197.19,1.22468,1.21566,1.35571,0.64963,0.46573,0.5221,0.34838,1.2367,1.46357,1.40977,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,1223.31,1.22733,1.21702,1.35261,0.63821,0.46545,0.51719,0.34435,1.23547,1.46857,1.41113,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,1249.38,1.2149,1.21059,1.34922,0.63849,0.46846,0.52153,0.34874,1.23748,1.45592,1.41043,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,1275.6,1.23206,1.20051,1.3502,0.64388,0.47927,0.52738,0.35186,1.2379,1.4379,1.41521,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,1301.36,1.22048,1.19554,1.35166,0.64979,0.47529,0.52784,0.352,1.23908,1.44015,1.41586,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,1327.32,1.20734,1.18666,1.34369,0.64563,0.47137,0.5271,0.34933,1.23681,1.43896,1.40924,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,1353.49,1.2242,1.18696,1.34346,0.63601,0.47675,0.52225,0.35276,1.2272,1.47208,1.40441,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,1379.61,1.22028,1.18938,1.34238,0.65489,0.4757,0.52879,0.35114,1.24023,1.44133,1.41001,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,1406.28,1.18651,1.17336,1.33315,0.63708,0.47018,0.52416,0.35286,1.22928,1.45275,1.40142,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,1432.69,1.20264,1.1727,1.33182,0.63315,0.47854,0.52683,0.35225,1.22954,1.43895,1.3997,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,1458.73,1.19323,1.16,1.32754,0.64455,0.47626,0.53092,0.35407,1.22914,1.43295,1.39908,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,1485.28,1.20988,1.16375,1.33418,0.63536,0.47972,0.5225,0.34978,1.23586,1.45544,1.40216,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,1511.93,1.20295,1.16021,1.32912,0.65034,0.47814,0.53133,0.35597,1.22953,1.43703,1.39713,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,1540.25,1.19668,1.16502,1.33688,0.64363,0.48258,0.53139,0.35693,1.23237,1.43591,1.39896,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,1571.56,1.19664,1.14265,1.32487,0.62998,0.4912,0.52899,0.3547,1.23408,1.4447,1.40324,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,1603.26,1.18592,1.15601,1.32989,0.65085,0.48726,0.53463,0.35912,1.23321,1.43149,1.40433,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,1634.08,1.20559,1.14815,1.32459,0.66291,0.47769,0.5356,0.36004,1.23059,1.43249,1.39338,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,1663.06,1.20887,1.15453,1.33374,0.66909,0.47906,0.53697,0.36236,1.22645,1.41737,1.39575,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,1691.55,1.18159,1.1389,1.32264,0.65946,0.48726,0.53859,0.36234,1.21973,1.4125,1.39356,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,1719.68,1.17582,1.12592,1.31407,0.65389,0.48414,0.53723,0.35936,1.22917,1.42292,1.39893,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,1748.29,1.17112,1.1385,1.32029,0.65853,0.48233,0.53592,0.36008,1.22366,1.42005,1.39436,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,1776.68,1.18308,1.13012,1.31714,0.65856,0.49265,0.53609,0.36059,1.22164,1.43273,1.39095,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,1805.05,1.18473,1.13652,1.32419,0.66124,0.48469,0.53832,0.36232,1.21781,1.42016,1.38905,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,1833.35,1.18216,1.12869,1.31975,0.67172,0.47833,0.53643,0.36173,1.22102,1.41717,1.39339,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,1861.54,1.18769,1.13406,1.32438,0.65631,0.48842,0.53739,0.36143,1.21742,1.4086,1.39028,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,1890.4,1.18307,1.12404,1.31757,0.64536,0.49382,0.53771,0.36232,1.21414,1.41196,1.38695,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
