class,precision,recall,f1_score,support
BIODEGRADABLE,0.7752,0.9985,0.8728,5862
CARDBOARD,0.9132,0.7086,0.798,683
GLASS,0.8386,0.4611,0.595,1555
METAL,0.7857,0.615,0.6899,948
PAPER,0.8297,0.5007,0.6245,681
PLASTIC,0.8258,0.466,0.5958,824
