class,precision,recall,f1_score,support
BIODEGRADABLE,0.8842,0.9669,0.9237,5862
CARDBOARD,0.8204,0.8829,0.8505,683
GLASS,0.857,0.6437,0.7352,1555
METAL,0.7516,0.7532,0.7524,948
PAPER,0.8112,0.5932,0.6853,681
PLASTIC,0.6894,0.6626,0.6757,824
