epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,24438,1.28901,2.49275,1.38068,0.4753,0.30087,0.216,0.14647,1.19734,2.08478,1.27665,0.00999454,0.00333151,0.00999454,0.00333151,0.00999454,0.00333151,0.00999454,0.00333151
2,26229.2,1.32113,1.93802,1.38348,0.52525,0.32529,0.26005,0.1711,1.22833,1.97283,1.30346,0.0197966,0.00659886,0.0197966,0.00659886,0.0197966,0.00659886,0.0197966,0.00659886
3,27946.6,1.35213,1.87076,1.39574,0.54921,0.33468,0.25692,0.16228,1.26057,1.9546,1.34571,0.0294006,0.00980022,0.0294006,0.00980022,0.0294006,0.00980022,0.0294006,0.00980022
4,29552.4,1.36042,1.80984,1.41598,0.61909,0.30923,0.2575,0.17591,1.27043,1.82403,1.35655,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,31061.1,1.35114,1.71764,1.40258,0.57415,0.39235,0.32006,0.2096,1.27111,1.7346,1.34656,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
